Date,y_next_log_return,oof_prediction,has_prediction,Close_XAUUSD,pred_mean,pred_std,pred_z,mkt_vol,stop_loss_dist,pos_size_units,signal,day_of_week,raw_ret,net_ret
2014-04-07,0.0082096223556629,-0.0004148074119478,True,1298.0,-0.00090788419661033,0.0002059667588638715,2.3939629257768558,0.007070651561783638,0.014141303123567275,707.1484086452003,1,0,0.0082096223556629,0.0080346223556629
2014-04-15,0.0023817582836124,-0.0002043673334902,True,1300.0,-0.0008643615820586917,0.0002260738637814979,2.9193743917535784,0.007496664533933233,0.014993329067866466,666.9632844537433,1,1,0.0023817582836124,0.0022067582836124
2014-07-03,0.0,-0.0003900458803701,True,1320.400024,-0.00076035375545681,0.00015003344969864043,2.468168770567605,0.007567017316004884,0.015134034632009769,660.7623309417537,1,3,0.0,-0.000175
2014-07-17,-0.0057123429484614,-0.0011073078178442,True,1316.699951,-0.0007393844862510016,0.00015639842676313089,-2.3524746329477275,0.007451409354111162,0.014902818708222325,671.014000491243,-1,3,0.0057123429484614,0.0055373429484614
2014-07-22,-0.0012257536313763,-0.0003643094138802,True,1306.099976,-0.0007229312982758016,0.00016839184714714927,2.1296867423885417,0.007290615969281718,0.014581231938563435,685.8131083939959,1,1,-0.0012257536313763,-0.0014007536313763
2014-07-27,0.0001535244003022,-0.0011249083009539,True,1303.099976,-0.0007353200567192932,0.0001852443051912831,-2.103105106698521,0.007984661069204977,0.015969322138409955,626.2006560658991,-1,6,-0.0001535244003022,-0.0003285244003022
2014-07-28,-0.0038437930256736,-0.0011260817541817,True,1303.300049,-0.0007412991388129134,0.00019196293643436113,-2.0044630620680124,0.007870592598852689,0.015741185197705378,635.2761799319735,-1,0,0.0038437930256736,0.0036687930256736
2014-07-31,0.0095537849520813,-0.0002391958791445,True,1281.300049,-0.0007492536316770316,0.00021178859399708543,2.408334381499085,0.008026888385475382,0.016053776770950764,622.9063816369338,1,3,0.0095537849520813,0.0093787849520813
2014-12-30,-0.0136740750393099,-0.0007083156305228,True,1200.199951,-0.00022576600366288848,0.00023225636431739347,-2.0776594358485525,0.008337437831462086,0.016674875662924173,599.7046216203306,-1,1,0.0136740750393099,0.0134990750393099
2015-07-06,-0.0176325899530863,-0.0007071421772951,True,1172.900024,-0.00031536798346129926,0.00018102261931885572,-2.164227847922829,0.007851678060948289,0.015703356121896578,636.8065477453011,-1,0,0.0176325899530863,0.0174575899530863
2016-05-02,-0.0030943013407497,-0.0006001258625613,True,1294.699951,-0.00032794212619900005,0.00011355012897999075,-2.397035906584156,0.008781585933323576,0.017563171866647152,569.3732359921968,-1,0,0.0030943013407497,0.0029193013407497
2016-05-18,-0.015428132084925,-0.0006211299119517,True,1273.699951,-0.00030611671804864,9.593146052898294e-05,-3.283731866126314,0.008100982117639455,0.01620196423527891,617.2091145730056,-1,2,0.015428132084925,0.015253132084925
2016-05-23,-0.0179036653200231,-0.0006121996928461,True,1251.099976,-0.00031548231504115165,9.800332324472977e-05,-3.027625676162003,0.008377764374182656,0.016755528748365313,596.8179309755062,-1,0,0.0179036653200231,0.0177286653200231
2016-05-25,-0.0027828009719568,4.912352863823581e-05,True,1223.5,-0.00030935651295072947,0.0001087246497811428,3.29713677910729,0.007153593517174146,0.014307187034348292,698.9494144441029,1,2,-0.0027828009719568,-0.0029578009719567998
2016-05-26,-0.0051768281399267,4.912352863823581e-05,True,1220.099976,-0.00030311875170975554,0.0001181327960624542,2.9817484397962497,0.007136862728924383,0.014273725457848767,700.587945980231,1,3,-0.0051768281399267,-0.0053518281399267
2016-06-02,0.024736904980073,4.912352863823581e-05,True,1209.800049,-0.00028235437283723717,0.00015036405317518797,2.2045023027496518,0.007996590661650106,0.01599318132330021,625.2664681185825,1,3,0.024736904980073,0.024561904980072997
2016-06-04,0.0,4.912352863823581e-05,True,1240.099976,-0.00027313528561057814,0.0001606893106170006,2.0054776077601746,0.007981956013918032,0.015963912027836064,626.4128731455755,1,5,0.0,-0.000175
2016-07-11,-0.0155445651186969,-0.0006249987690572,True,1355.0,-0.0002541315268294009,0.00018428666088884577,-2.0124475664111747,0.012084382547866545,0.02416876509573309,413.7571762723394,-1,0,0.0155445651186969,0.0153695651186969
2017-05-17,-0.0046230347866776,0.0001011497397103,True,1257.5,-0.0004848407513195764,0.00016061949170506417,3.6483149386744116,0.00688865922592458,0.01377731845184916,725.8306494801114,1,2,-0.0046230347866776,-0.004798034786677599
2018-02-20,0.0009026260413388,-0.0004521305397689,True,1328.800049,-0.00059665727741963,7.069145391469762e-05,2.0444725585235295,0.007487013858215396,0.014974027716430792,667.8229925424232,1,1,0.0009026260413388,0.0007276260413388
2018-02-27,0.0,-0.0004357265657682,True,1315.5,-0.0006040905199129482,6.403470009322558e-05,2.6292612271102045,0.0071916273976214045,0.014383254795242809,695.2529272656319,1,1,0.0,-0.000175
2018-03-01,0.0138721370882965,-0.0002092565388876,True,1302.900024,-0.0005972259636952133,8.179162547917573e-05,4.743388122374348,0.008135672487407505,0.01627134497481501,614.5773453563995,1,3,0.0138721370882965,0.0136971370882965
2018-03-03,0.0,-0.0002925984826771,True,1321.099976,-0.0005866987190558816,9.741103058400478e-05,3.0191676919500114,0.007908376539146523,0.015816753078293045,632.2410137213325,1,5,0.0,-0.000175
2018-03-04,-0.0022734172072357,-0.0002925984826771,True,1321.099976,-0.0005812832768644666,0.0001044461333559244,2.7639586542050942,0.007888179596533436,0.01577635919306687,633.8598074259511,1,6,-0.0022734172072357,-0.0024484172072357
2018-03-05,0.0116907469297903,-0.0002925984826771,True,1318.099976,-0.0005758678346730517,0.00011076747041546044,2.557333402428356,0.006849851223770032,0.013699702447540063,729.9428610433516,1,0,0.0116907469297903,0.0115157469297903
2018-03-06,-0.0057151426943755,-0.0003144217650767,True,1333.599976,-0.0005708161138549634,0.00011564000622498251,2.217176884956555,0.0069286313741709765,0.013857262748341953,721.643240920471,1,1,-0.0057151426943755,-0.0058901426943755
2018-03-07,-0.0046108974277033,-0.0002925984826771,True,1326.0,-0.0005654006716635483,0.00012090392315526651,2.2563551443745293,0.0069610498815849105,0.013922099763169821,718.2824552410169,1,2,-0.0046108974277033,-0.0047858974277033
2018-03-08,0.0018922913375302,-0.0002925984826771,True,1319.900024,-0.0005599852294721333,0.000125711010116958,2.1269954520790515,0.006991666765384104,0.013983333530768208,715.137057840787,1,3,0.0018922913375302,0.0017172913375301999
2018-08-30,0.0021685563127128,0.0014041236885523,True,1197.699951,0.00023174849332552644,0.00038601853411079337,3.037095609741587,0.006965050235232759,0.013930100470465518,717.869912080097,1,3,0.0021685563127128,0.0019935563127128
2018-10-11,-0.0044233558796292,-0.0008608044975829,True,1223.5,0.0001049910958672964,0.00036504733571022396,-2.6456722155530232,0.008597692902945323,0.017195385805890646,581.5513599336798,-1,3,0.0044233558796292,0.0042483558796292
2019-09-05,-0.0060895561996249,0.0009779747642934,True,1515.400024,-0.00015853903078616194,0.0003111384873956895,3.6527586303850725,0.008927629122911509,0.017855258245823017,560.0591076491071,1,3,-0.0060895561996249,-0.0062645561996249
2019-09-07,0.0,0.0010283516604887,True,1506.199951,-0.00012053990894400999,0.0003823633364883401,3.0047116441242387,0.008735770415719862,0.017471540831439723,572.3593640925578,1,5,0.0,-0.000175
2019-09-08,-0.0026592225019653,0.0010283516604887,True,1506.199951,-0.00010066019492029334,0.0004100478425396936,2.7533661643389875,0.008735392459766046,0.017470784919532092,572.3841284784029,1,6,-0.0026592225019653,-0.0028342225019653
2019-09-10,0.0027473297005026,0.0008452626630919,True,1490.300049,-8.105936775199834e-05,0.0004323526019837016,2.142515221589479,0.008876109403261731,0.017752218806523463,563.3098661630551,1,1,0.0027473297005026,0.0025723297005026003
2019-09-18,-0.0060547614543769,-0.0013503190095427,True,1507.5,-8.799282488248298e-05,0.0004965250562420957,-2.542321215799293,0.007542010454067077,0.015084020908134155,662.9532046463444,-1,2,0.0060547614543769,0.0058797614543769005
2019-10-15,0.0070138027505626,0.0012192730193669,True,1477.599976,-3.4680476363741666e-05,0.0005820277168148093,2.1544566684779154,0.007940234943620958,0.015880469887241917,629.7042890420906,1,1,0.0070138027505626,0.0068388027505626005
2020-03-16,0.0259081844455746,0.0012987868700166,True,1485.900024,-1.323972541893018e-06,0.0005136792798979692,2.530977778229113,0.020582716592746516,0.04116543318549303,242.92225846232722,1,0,0.0259081844455746,0.025733184445574597
2020-03-19,0.0036454668358965,0.0014565904681323,True,1478.599976,2.3435612547365643e-05,0.0005496312913620147,2.607484104541251,0.01912596853916256,0.03825193707832512,261.4246692794637,1,3,0.0036454668358965,0.0034704668358965
2020-03-21,0.0,0.0015646859812431,True,1484.0,6.468665330844747e-05,0.0006035687014682991,2.485217216011384,0.018526011800055624,0.03705202360011125,269.8907921447501,1,5,0.0,-0.000175
2020-03-22,0.054421818628695,0.0015646859812431,True,1484.0,9.123798387093513e-05,0.0006336931177307395,2.325175950543056,0.02136508955609031,0.04273017911218062,234.0266342845591,1,6,0.054421818628695,0.054246818628695
2020-03-25,0.0108457843952056,0.0015266788049215,True,1632.300049,0.0001154051583162818,0.0006562072669786456,2.1506522673896935,0.02541872437061918,0.05083744874123836,196.70538643470894,1,2,0.0108457843952056,0.0106707843952056
2020-05-27,0.0017525415831148,0.0001506932637522,True,1710.300049,-0.0003673417472874683,0.00015803865412142916,3.2779006751198705,0.008288906427456518,0.016577812854913037,603.2158818246268,1,2,0.0017525415831148,0.0015775415831148
2020-05-30,0.0,0.0003311577807798,True,1736.900024,-0.00035403054217999374,0.00018622837294169256,3.679290712454024,0.008552780631986877,0.017105561263973754,584.605196268019,1,5,0.0,-0.000175
2020-05-31,0.0005180447239875,0.0003311577807798,True,1736.900024,-0.0003400637028003537,0.00020504664671243492,3.2735062696319037,0.008497719125081835,0.01699543825016367,588.3931825002335,1,6,0.0005180447239875,0.0003430447239875
2020-06-02,-0.0160096332064378,0.0004344825001999,True,1725.199951,-0.0003231056681077671,0.00022582001342596325,3.3548318274104076,0.008721135835990722,0.017442271671981445,573.3198168254421,1,1,-0.0160096332064378,-0.0161846332064378
2020-06-03,0.0123512411317832,0.000441382211044,True,1697.800049,-0.0003099200385226805,0.0002463972911514909,3.0491497940403978,0.008969594952604442,0.017939189905208885,557.4387724774776,1,2,0.0123512411317832,0.0121762411317832
2020-06-06,0.0,0.0003905168098849,True,1676.199951,-0.0002806771939743271,0.000278580776940723,2.409333519814417,0.010193555439602956,0.020387110879205913,490.5059897525561,1,5,0.0,-0.000175
2020-06-07,0.0130984821310883,0.0003905168098849,True,1676.199951,-0.0002696051573798121,0.0002917488610344985,2.2626376840821822,0.010544675342568876,0.021089350685137752,474.1729676413071,1,6,0.0130984821310883,0.0129234821310883
2020-06-13,0.0,0.0008498455348633,True,1729.300049,-0.00021988296893844542,0.00036378932684719557,2.940516460646657,0.010208800545507067,0.020417601091014134,489.77350254928035,1,5,0.0,-0.000175
2020-06-14,-0.0052180079806434,0.0008427441127678,True,1729.300049,-0.0002038862339602888,0.00038864100036002403,2.693051802971188,0.009468725204598592,0.018937450409197185,528.0541880729303,1,6,-0.0052180079806434,-0.0053930079806434
2020-08-31,0.0003048808454574,0.0010113146406614,True,1967.599976,0.0003650502808092432,0.0002929554720045733,2.206015663165588,0.011116839706288227,0.022233679412576455,449.7681114509329,1,0,0.0003048808454574,0.0001298808454574
2020-09-03,-0.0019213050178739,-0.0012097304675712,True,1927.599976,0.00034022013912562987,0.0003570871272708253,-4.340539012265491,0.011352227928497537,0.022704455856995074,440.44217853030267,-1,3,0.0019213050178739,0.0017463050178739
2020-09-14,0.0016371175598607,-0.0008055449942339,True,1953.099976,0.000268636799952803,0.00040664727234776267,-2.6415566197824343,0.007680914693168212,0.015361829386336423,650.9641363999589,-1,0,-0.0016371175598607,-0.0018121175598607
2020-09-24,-0.0056898156721869,-0.0009227886855436,True,1868.300049,0.00019761128701739473,0.00046170546412410273,-2.4266552155420023,0.008835673852172049,0.017671347704344097,565.8877957305841,-1,3,0.0056898156721869,0.0055148156721869
2020-09-26,0.0,-0.0008790419054462,True,1857.699951,0.00016666866722892475,0.0004943545090776219,-2.11530501588068,0.008835673852172049,0.017671347704344097,565.8877957305841,-1,5,-0.0,-0.000175
2020-10-14,0.0009987657552555,-0.0011010877180981,True,1901.300049,-1.904511584659197e-05,0.00047361680154577805,-2.284637282123366,0.007677922353599902,0.015355844707199804,651.2178385934939,-1,2,-0.0009987657552555,-0.0011737657552555
2020-10-28,-0.0056657242835524,0.0011485646962645,True,1876.199951,-0.000242802245878649,0.0005563833896956822,2.5007341482716923,0.006831680177180546,0.013663360354361092,731.8843784141421,1,2,-0.0056657242835524,-0.0058407242835524
2020-10-31,0.0,0.0008848246930433,True,1877.400024,-0.000247990319855784,0.0005485393639900627,2.0651480773576827,0.007020521019641405,0.01404104203928281,712.1978534088045,1,5,0.0,-0.000175
2021-01-11,-0.0036289556413353,-0.0014445337460645,True,,-8.630911885230483e-05,0.0005122482803714103,-2.651496704346966,0.012922154358196585,0.02584430871639317,386.9323846010612,-1,0,0.0036289556413353,0.0034539556413353003
2021-02-23,-0.0044434642614246,0.0017831711571449,True,,0.0001527834563808003,0.0007290827809056274,2.236217537244426,0.007567982675910714,0.015135965351821427,660.6780451434254,1,1,-0.0044434642614246,-0.0046184642614246
2021-03-01,0.0061349747194978,0.0021160277639169,True,,0.00026713969496316455,0.0007513573355122835,2.460730709034928,0.00892363280183615,0.0178472656036723,560.3099220948656,1,0,0.0061349747194978,0.005959974719497801
2021-05-19,0.0002657383486599,-0.0018335418714422,True,,-9.022052425631088e-05,0.0005016319783367099,-3.4752994674827553,0.006863404591587321,0.013726809183174642,728.5014213104454,-1,2,-0.0002657383486599,-0.0004407383486599
2021-06-16,-0.0471834687984637,-0.0013712492498974,True,,-0.00021214481635235921,0.000571383837076844,-2.028591567229011,0.01178311282057973,0.02356622564115946,424.33608810630056,-1,2,0.0471834687984637,0.047008468798463696
2021-06-19,0.0,-0.0014311408250331,True,,-0.0002379416791485638,0.0005954247523668196,-2.0039461596810635,0.01175451002424119,0.02350902004848238,425.368644859595,-1,5,-0.0,-0.000175
2021-09-20,0.0080276030639559,-0.0017808461922408,True,,-0.00022914855691801546,0.0007019091318700979,-2.21068164648121,0.008023187356792867,0.016046374713585734,623.1937230989288,-1,0,-0.0080276030639559,-0.0082026030639559
2021-09-21,0.0003940389105248,-0.0018542533372581,True,,-0.00025907668258869825,0.0007321437624120633,-2.1787751758125458,0.008022173543006878,0.016044347086013756,623.2724801071676,-1,1,-0.0003940389105248,-0.0005690389105248
2021-11-28,-0.0016818032429124,0.0006836915732572,True,,-0.0004867887850176243,0.0005500737132737985,2.1278609212366035,0.007516838751395877,0.015033677502791753,665.1732417529245,1,6,-0.0016818032429124,-0.0018568032429124
2022-02-28,0.0223862747766062,0.0001283695026139,True,,-0.001126688325815362,0.0005014966674947805,2.502624463486239,0.008846457669806707,0.017692915339613414,565.1979794200778,1,0,0.0223862747766062,0.0222112747766062
2022-04-27,0.0014835625136904,7.090002131176183e-05,True,,-0.0010599676834686705,0.0004901426684153704,2.3072215043765194,0.007207328839503369,0.014414657679006739,693.7382921388296,1,2,0.0014835625136904,0.0013085625136904
2022-05-02,0.0037527518529361,0.0001305617873326,True,,-0.0010071713101733307,0.0004979629342071009,2.2847746676517726,0.00857729707814027,0.01715459415628054,582.9342221039288,1,0,0.0037527518529361,0.0035777518529361003
2022-05-09,-0.0093048829313971,0.0003426377533009,True,,-0.0008562507187698156,0.0005731910999825692,2.091603432270972,0.00863800185581164,0.01727600371162328,578.8375695515746,1,0,-0.0093048829313971,-0.0094798829313971
2022-07-27,0.0179863457053358,0.0007396298493428,True,,-0.0004294715125518485,0.0005134007283983963,2.277171217777143,0.006963650483374848,0.013927300966749696,718.0142099229557,1,2,0.0179863457053358,0.0178113457053358
2022-10-06,-0.0065646746278564,-0.0009510648965529,True,,-0.00031527015444206556,0.00030007152614123535,-2.118810639206012,0.009067055529113377,0.018134111058226755,551.4469370950159,-1,3,0.0065646746278564,0.0063896746278564
2022-10-11,-0.0050163748071654,-0.0011840006710623,True,,-0.00032686148954014926,0.0003310959578900133,-2.5887938559699473,0.010229722919661061,0.020459445839322122,488.77179169635457,-1,1,0.0050163748071654,0.0048413748071654
2023-02-15,0.0042435454050527,1.597650532932542e-05,True,,-0.00022761077650361835,0.00011366374379999268,2.143051721590042,0.007179863351334606,0.014359726702669212,696.3920837115362,1,2,0.0042435454050527,0.0040685454050527
2023-03-13,-0.0028811671054026,0.0001079375639944,True,,-0.00014118042942604981,0.00012288596333029595,2.0272290395841575,0.00917995898971354,0.01835991797942708,544.664742577028,1,0,-0.0028811671054026,-0.0030561671054025997
2023-12-13,0.0238764747998513,0.0001025127741411,True,,-0.00019566495127418764,0.00011402710700189951,2.614972292599868,0.010221696551831087,0.020443393103662173,489.1555892553192,1,2,0.0238764747998513,0.0237014747998513
