Date,y_next_log_return,oof_prediction,has_prediction,Close_XAUUSD,pred_mean,pred_std,pred_z,mkt_vol,stop_loss_dist,pos_size_units,signal,day_of_week,raw_ret,net_ret
2014-01-28,0.0089129598621212,-0.0001947502161851,True,1251.0,-0.0005901753473728258,0.00031477916545679925,1.2561985499068695,0.006960940608202914,0.013921881216405828,7182.937308943418,1,1,0.0089129598621212,0.0087379598621212
2014-01-30,-0.0016919595236094,-0.0001919681448451,True,1242.199951,-0.0006031632103595774,0.00030341027102548,1.3552443828770246,0.007307306107085902,0.014614612214171804,6842.466877296265,1,3,-0.0016919595236094,-0.0018669595236094
2014-02-10,0.0119303741472991,-0.0011315387454611,True,1274.800049,-0.0006658262277506567,0.000263984644566885,-1.764165178904742,0.00824453665231581,0.01648907330463162,6064.622198744849,-1,0,-0.0119303741472991,-0.0121053741472991
2014-02-11,0.0040226502374021,-0.0011327121986888,True,1290.099976,-0.0006658697493642751,0.0002640626878782594,-1.7679228105856166,0.007257002638985131,0.014514005277970261,6889.896901979402,-1,1,-0.0040226502374021,-0.0041976502374020995
2014-02-12,0.0039295615203259,-0.0011325093176893,True,1295.300049,-0.00066832240696397,0.0002677382068625851,-1.7337342927808992,0.0072811978369718726,0.014562395673943745,6867.001985046208,-1,2,-0.0039295615203259,-0.0041045615203259
2014-02-13,0.0142019458317048,-0.0011325093176893,True,1300.400024,-0.000670775064563665,0.00027134140252391196,-1.7016726855200237,0.007810765013186372,0.015621530026372744,6401.421616908007,-1,3,-0.0142019458317048,-0.014376945831704799
2014-02-15,0.0,-0.0010542781546553,True,1319.0,-0.0006760828576223033,0.000275474851841343,-1.372885018378427,0.007798839777155861,0.015597679554311721,6411.210055431396,-1,5,-0.0,-0.000175
2014-02-16,0.0,-0.0010542781546553,True,1319.0,-0.0006821803809350684,0.00027976823850405506,-1.330021505335525,0.007280694706775804,0.014561389413551609,6867.476527132407,-1,6,-0.0,-0.000175
2014-02-17,0.0043121079833936,-0.0010162613016547,True,1319.0,-0.0006957119470711434,0.0002758734764534025,-1.1619433615166705,0.00714367378282262,0.01428734756564524,6999.199784322167,-1,0,-0.0043121079833936,-0.0044871079833936
2014-02-18,-0.0030998211137948,-0.0010710900526895,True,1324.699951,-0.000701847888816955,0.00028009870867282013,-1.3182572873045701,0.0058651924742906415,0.011730384948581283,8524.869425712614,-1,1,0.0030998211137948,0.0029248211137948
2014-02-19,-0.0026538288037636,-0.0003409889583029,True,1320.599976,-0.000700382792570135,0.00028177551052339467,1.2754615672585075,0.0059099819423284496,0.011819963884656899,8460.26273648828,1,2,-0.0026538288037636,-0.0028288288037635998
2014-02-20,0.005149612288719,-0.0010198819081526,True,1317.099976,-0.0007102325788208101,0.0002824529864162221,-1.0962862643466313,0.005883970159095987,0.011767940318191974,8497.663762401202,-1,3,-0.005149612288719,-0.0053246122887189995
2014-02-25,-0.0110813123086592,-0.0010580755488428,True,1343.0,-0.0007352385499171099,0.000293782260676831,-1.098898885800393,0.005817135792724601,0.011634271585449203,8595.295310543412,-1,1,0.0110813123086592,0.0109063123086592
2014-03-06,-0.0101123438640704,-0.001071292933689,True,1351.699951,-0.000787268812091965,0.00028182194879164716,-1.0078140571195038,0.007585077462339481,0.015170154924678962,6591.890491330381,-1,3,0.0101123438640704,0.0099373438640704
2014-04-07,0.0082096223556629,-0.0004148074119478,True,1298.0,-0.00090788419661033,0.0002059667588638715,2.3939629257768558,0.007070651561783638,0.014141303123567275,7071.484086452004,1,0,0.0082096223556629,0.0080346223556629
2014-04-10,-0.0010611074504269,-0.0007131471077844,True,1320.099976,-0.0009167384987390584,0.0001878215918193278,1.0839615881357243,0.0073235905123221,0.0146471810246442,6827.252276854353,1,3,-0.0010611074504269,-0.0012361074504269
2014-04-12,0.0,-0.0003987876168048,True,1318.699951,-0.0008925609001491033,0.00020476074675824705,2.4114645563745767,0.005959702686357302,0.011919405372714603,8389.680262818794,1,5,0.0,-0.000175
2014-04-13,0.0064250573005569,-0.0003987876168048,True,1318.699951,-0.0008803322051343617,0.00021197038467294814,2.271754089952439,0.006115366065840915,0.01223073213168183,8176.1254292345575,1,6,0.0064250573005569,0.0062500573005569
2014-04-15,0.0023817582836124,-0.0002043673334902,True,1300.0,-0.0008643615820586917,0.0002260738637814979,2.9193743917535784,0.007496664533933233,0.014993329067866466,6669.632844537434,1,1,0.0023817582836124,0.0022067582836124
2014-04-17,0.0,-0.0005021178217218,True,1293.400024,-0.0008556304691618783,0.0002298702572775791,1.5378790263117652,0.0076956147020415516,0.015391229404083103,6497.20677761266,1,3,0.0,-0.000175
2014-04-26,0.0,-0.0004186995271459,True,1300.699951,-0.0008190352314424016,0.00021905663396929972,1.8275443068873582,0.006782587304564481,0.013565174609128962,7371.818121139624,1,5,0.0,-0.000175
2014-04-27,-0.0013847725072604,-0.0004186995271459,True,1300.699951,-0.0008140487896013433,0.00022472990812924973,1.7592196149880714,0.006513051830522979,0.013026103661045958,7676.892691944868,1,6,-0.0013847725072604,-0.0015597725072604
2014-04-28,-0.002235172978191,-0.0004148074119478,True,1298.900024,-0.0008040232785048666,0.000228930839753742,1.700146065841287,0.006509658780525128,0.013019317561050256,7680.894142959449,1,0,-0.002235172978191,-0.002410172978191
