Strategy Profile,Z-Score (Conviction),Volatility Percentile,Win Rate (After Cost),Average Profit (Log),Frequency
"""The Sniper""",>2.0,Top 50%,46.70%,+0.0036 (36 Pips),1 Trade / month
"""The Hunter""",>1.3,Top 30%,38.10%,+0.0012 (12 Pips),1 Trade / week
